215555224 ;        2812;   ;transacc  ;215555224                               ;19122016      ;105329;200.10.14.177  ;OK ;597032110312        ;conectandose al port :(80)                                              
215555224 ;        2812;   ;resultado ;logro abrir_conexion                    ;19122016      ;105329;200.10.14.177  ; 0 ;597032110312        ;Abrio socket para conex-com                                             
215555224 ;        2812;   ;transacc  ;215555224                               ;19122016      ;105329;200.10.14.177  ;OK ;597032110312        ;POST a url http://190.98.201.83/Webpay/Xt_Cierre                        
215555224 ;        2812;   ;transacc  ;215555224                               ;19122016      ;105329;200.10.14.177  ;OK ;597032110312        ;mensaje enviado                                                         
          ;        2812;   ;resultado ;189                                     ;19122016      ;105329;200.10.14.177  ;OK ;                    ;tienda NO acepto transaccion                                            
          ;        2812;   ;resultado ;189                                     ;19122016      ;105329;200.10.14.177  ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
215555224 ;        2812;   ;resultado ;datoscom                                ;19122016      ;105329;200.10.14.177  ;Ok ;597032110312        ;Error al obtener ack (46)                                               
          ;        2812;   ;resultado ;189                                     ;19122016      ;105329;200.10.14.177  ;ERR;                    ;46                                                                      
          ;        4992;   ;Filtro    ;Inicio                                  ;19122016      ;105511;200.83.215.99  ;OK ;                    ;Inicio de filtrado                                                      
          ;        4992;   ;Filtro    ;tbk_param.txt                           ;19122016      ;105511;200.83.215.99  ;OK ;                    ;Archivo parseado                                                        
          ;        4992;   ;Filtro    ;Terminado                               ;19122016      ;105511;200.83.215.99  ;OK ;                    ;Datos Filtrados con exito                                               
215571112 ;        4992;   ;pago      ;inicio                                  ;19122016      ;105511;200.83.215.99  ;OK ;597032110312        ;Parseo realizado                                                        
215571112 ;        4992;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105511;200.83.215.99  ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
215571112 ;        4992;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105511;200.83.215.99  ;OK ;597032110312        ;Mac generado                                                            
215571112 ;        4992;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105511;200.83.215.99  ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
215571112 ;        4992;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105511;200.83.215.99  ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
215571112 ;        4992;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105511;200.83.215.99  ;OK ;597032110312        ;Datos listos para ser enviados                                          
215571112 ;        4992;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105511;200.83.215.99  ;OK ;597032110312        ;Medio 2: Por redireccion                                                
215571112 ;        4992;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105511;200.83.215.99  ;OK ;597032110312        ;Redireccion web                                                         
215571112 ;        4992;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;105511;200.83.215.99  ;OK ;597032110312        ;Todo OK                                                                 
          ;        4124;   ;resultado ;Desencriptando                          ;19122016      ;105610;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        4124;   ;resultado ;Validacion                              ;19122016      ;105610;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
